Messung;Jahr;Monat;Tag;Longitude;Latitude;Height;Stunde;Minute;Sekunde;Sensor1_T;Sensor1_LF;Sensor2_T;Sensor2_LF;Sensor3_T;Sensor3_LF;Sensor4_T;Sensor4_LF;Time;Distanz_Nachbarpunkt;Distanz_Runsum;Height_GIS1;LCZ
1;2024;12;12;7.436;46.95439;573.8;10;37;14;1.76;66.78;1.91;68.44;1.3;69.57;1.24;70.79;34634;0;0;557.9000244;1
2;2024;12;12;7.43598;46.9544;573.7;10;37;16;1.8;66.87;1.86;68.44;1.3;69.56;1.27;70.81;34636;1.884882057;1.884882057;557.9000244;1
3;2024;12;12;7.43597;46.95441;573.6;10;37;17;1.78;66.93;1.94;68.46;1.33;69.64;1.21;70.78;34637;1.347180107;3.232062164;557.9000244;1
4;2024;12;12;7.43596;46.95441;573.7;10;37;18;1.76;66.94;1.88;68.4;1.29;69.51;1.21;70.73;34638;0.761114303;3.993176468;557.9000244;1
5;2024;12;12;7.43594;46.95442;573.6;10;37;19;1.78;66.88;1.91;68.44;1.3;69.59;1.22;70.78;34639;1.884881602;5.878058069;557.9299927;1
6;2024;12;12;7.43593;46.95443;573.6;10;37;20;1.75;66.81;1.94;68.49;1.26;69.5;1.19;70.78;34640;1.34717995;7.225238019;557.8800049;1
7;2024;12;12;7.4359;46.95444;573.4;10;37;22;1.78;66.86;1.94;68.45;1.24;69.53;1.21;70.83;34642;2.539537192;9.764775211;557.9099731;1
8;2024;12;12;7.43589;46.95445;573.2;10;37;23;1.76;66.82;1.89;68.48;1.24;69.54;1.18;70.77;34643;1.347179792;11.111955;557.9299927;1
9;2024;12;12;7.43588;46.95445;573.2;10;37;24;1.75;66.88;1.86;68.39;1.23;69.46;1.19;70.8;34644;0.761113736;11.87306874;557.8900146;1
10;2024;12;12;7.43587;46.95446;573.3;10;37;25;1.73;66.82;1.88;68.44;1.27;69.5;1.19;70.79;34645;1.347179713;13.22024845;557.8699951;1
11;2024;12;12;7.43586;46.95447;573.4;10;37;26;1.73;66.91;1.91;68.46;1.23;69.49;1.17;70.76;34646;1.347179636;14.56742809;557.9400024;1
12;2024;12;12;7.43584;46.95448;573.1;10;37;28;1.7;66.87;1.88;68.5;1.26;69.51;1.19;70.82;34648;1.884880235;16.45230832;557.9199829;1
13;2024;12;12;7.43583;46.95448;572.8;10;37;29;1.72;66.89;1.88;68.49;1.24;69.5;1.19;70.83;34649;0.761113311;17.21342164;557.9099731;1
14;2024;12;12;7.43582;46.95449;572.6;10;37;30;1.69;66.89;1.83;68.5;1.22;69.53;1.15;70.84;34650;1.347179479;18.56060111;557.9299927;1
15;2024;12;12;7.43581;46.9545;572;10;37;31;1.69;66.97;1.86;68.48;1.22;69.5;1.17;70.81;34651;1.3471794;19.90778051;557.9400024;1
16;2024;12;12;7.4358;46.95451;571.6;10;37;32;1.7;67.02;1.83;68.55;1.27;69.52;1.19;70.83;34652;1.34717932;21.25495983;557.960022;1
17;2024;12;12;7.43577;46.95452;571.2;10;37;34;1.69;67.02;1.82;68.61;1.24;69.56;1.18;70.88;34654;2.53953414;23.79449397;557.9299927;1
18;2024;12;12;7.43576;46.95453;571.3;10;37;35;1.7;67.03;1.88;68.54;1.24;69.62;1.17;70.83;34655;1.347179164;25.14167314;557.9199829;1
19;2024;12;12;7.43574;46.95454;571.4;10;37;36;1.72;67.05;1.86;68.6;1.2;69.62;1.15;70.9;34656;1.884878867;27.02655201;557.9000244;1
20;2024;12;12;7.43573;46.95454;571.2;10;37;37;1.69;67.12;1.85;68.61;1.2;69.62;1.14;70.91;34657;0.76111246;27.78766447;557.9000244;1
21;2024;12;12;7.43571;46.95455;571.2;10;37;39;1.7;67.12;1.85;68.58;1.18;69.65;1.15;70.93;34659;1.884878639;29.6725431;557.8900146;1
22;2024;12;12;7.43569;46.95456;571.2;10;37;40;1.69;67.17;1.85;68.6;1.19;69.76;1.19;70.99;34660;1.884878412;31.55742152;557.9000244;1
23;2024;12;12;7.43568;46.95457;571.3;10;37;41;1.7;67.18;1.83;68.58;1.18;69.63;1.14;71;34661;1.347178851;32.90460037;557.9000244;1
24;2024;12;12;7.43567;46.95458;571.2;10;37;42;1.72;67.2;1.85;68.63;1.24;69.74;1.11;71.06;34662;1.347178772;34.25177914;557.9899902;1
25;2024;12;12;7.43566;46.95459;571.2;10;37;43;1.62;67.28;1.86;68.69;1.19;69.76;1.09;71.06;34663;1.347178694;35.59895783;558.0100098;1
26;2024;12;12;7.43563;46.9546;571.2;10;37;45;1.69;67.3;1.81;68.76;1.19;69.75;1.12;71.09;34665;2.539531087;38.13848892;557.9699707;1
27;2024;12;12;7.43562;46.9546;571.3;10;37;46;1.68;67.35;1.83;68.8;1.22;69.8;1.15;71.17;34666;0.76111161;38.89960053;557.9400024;1
