Messung;GPS;RMC;Jahr;Monat;Tag;GPS;GGA;Stunde;Minute;Sekunde;Longitude;Latitud;X;XX;Height;XXX;RTCMEZ;Jahr_Gerät;Monat_Gerät;Tag_Gerät;Stunde_Gerät;Minute_Gerät;Sekunde_Gerät;SENSORDATA;Sensor1_T;Sensor1_LF;Sensor2_T;Sensor2_LF;Sensor3_T;Sensor3_LF;Sensor4_T;Sensor4_LF;END;;
1;GPS;RMC;2024;12;12;GPS;GGA;9;23;19;7.43725;46.95164;7;2.3;623.8;49.5;RTCMEZ;2024;12;12;11;23;2;SENSORDATA;8.32;43.63;9.33;42.75;8.44;43.41;8.44;43.88;END;;
2;GPS;RMC;2024;12;12;GPS;GGA;9;23;20;7.43725;46.95164;8;1.7;623.8;49.5;RTCMEZ;2024;12;12;11;23;3;SENSORDATA;8.32;43.6;9.3;42.79;8.44;43.45;8.41;43.88;END;;
3;GPS;RMC;2024;12;12;GPS;GGA;9;23;21;7.43725;46.95165;8;1.7;623.6;49.5;RTCMEZ;2024;12;12;11;23;4;SENSORDATA;8.33;43.63;9.38;42.8;8.5;43.45;8.41;43.88;END;;
4;GPS;RMC;2024;12;12;GPS;GGA;9;23;23;7.43725;46.95166;9;1.5;623.1;49.5;RTCMEZ;2024;12;12;11;23;6;SENSORDATA;8.29;43.77;9.31;42.85;8.44;43.57;8.41;44.03;END;;
5;GPS;RMC;2024;12;12;GPS;GGA;9;23;24;7.43724;46.95166;9;1.5;622.7;49.5;RTCMEZ;2024;12;12;11;23;7;SENSORDATA;8.3;43.71;9.18;42.8;8.37;43.65;8.4;44.12;END;;
6;GPS;RMC;2024;12;12;GPS;GGA;9;23;25;7.43724;46.95167;9;1.5;622.3;49.5;RTCMEZ;2024;12;12;11;23;8;SENSORDATA;8.26;43.79;9.18;42.89;8.4;43.72;8.34;44.16;END;;
7;GPS;RMC;2024;12;12;GPS;GGA;9;23;26;7.43723;46.95168;9;1.5;620.2;49.5;RTCMEZ;2024;12;12;11;23;9;SENSORDATA;8.26;43.84;9.14;42.95;8.34;43.75;8.33;44.16;END;;
8;GPS;RMC;2024;12;12;GPS;GGA;9;23;27;7.43723;46.95169;9;1.5;619.9;49.5;RTCMEZ;2024;12;12;11;23;10;SENSORDATA;8.25;43.89;9.13;42.97;8.32;43.83;8.34;44.19;END;;
9;GPS;RMC;2024;12;12;GPS;GGA;9;23;29;7.43721;46.95171;9;1.5;618.9;49.5;RTCMEZ;2024;12;12;11;23;12;SENSORDATA;8.22;43.9;9.1;43.04;8.27;43.81;8.3;44.21;END;;
10;GPS;RMC;2024;12;12;GPS;GGA;9;23;30;7.4372;46.95171;9;1.5;618.6;49.5;RTCMEZ;2024;12;12;11;23;13;SENSORDATA;8.19;44.04;9.13;43.09;8.29;43.99;8.27;44.25;END;;
