number;stn;date;time;tre200s0;ure200s0;sre000z0;fu3010z0;dkl010z0
1;BER;20241212;10:20;0.8;78;0;3.2;45
2;BER;20241212;10:30;0.6;76.1;0;2.5;5
3;BER;20241212;10:40;0.7;76.2;0;3.6;263
4;BER;20241212;10:50;0.7;76.5;0;1.8;336
5;BER;20241212;11:00;0.8;77.3;0;1.1;304
6;BER;20241212;11:10;0.8;77.2;0;3.2;267
7;BER;20241212;11:20;0.9;77.8;0;2.5;319
8;BER;20241212;11:30;0.9;77.2;0;2.5;350
9;BER;20241212;11:40;1;77.6;0;3.6;356
10;BER;20241212;11:50;1;77;0;4;347
11;BER;20241212;12:00;0.9;76;0;4;17
12;BER;20241212;12:10;0.9;75.8;0;4.3;44
13;BER;20241212;12:20;0.8;75.1;0;3.2;355
