stn;time;tre200s0;ure200s0;sre000z0;fu3010z0;dkl010z0
BER;202412110000;1.5;82.3;0;8.3;32
BER;202412110010;1.3;83.6;0;5.8;37
BER;202412110020;1.4;83.8;0;6.8;40
BER;202412110030;1.4;83.4;0;7.6;33
BER;202412110040;1.3;84.6;0;6.5;35
BER;202412110050;1.4;82.5;0;7.9;44
BER;202412110100;1.4;83.0;0;6.5;46
BER;202412110110;1.2;85.1;0;5.8;38
BER;202412110120;1.2;85.2;0;5.0;37
BER;202412110130;1.3;84.1;0;6.1;39
BER;202412110140;1.3;84.1;0;5.8;33
BER;202412110150;1.3;85.5;0;5.4;37
BER;202412110200;1.3;83.9;0;5.8;29
BER;202412110210;1.4;82.7;0;6.8;25
BER;202412110220;1.2;84.9;0;5.4;35
BER;202412110230;1.3;82.9;0;5.4;40
BER;202412110240;1.3;81.5;0;5.4;43
BER;202412110250;1.3;82.6;0;6.1;33
BER;202412110300;1.2;83.4;0;6.1;32
BER;202412110310;1.2;83.1;0;5.8;38
BER;202412110320;1.2;83.7;0;6.8;33
BER;202412110330;1.2;83.4;0;5.8;39
BER;202412110340;1.1;85.2;0;5.8;32
BER;202412110350;1.2;82.8;0;6.1;38
BER;202412110400;1.3;81.8;0;6.1;46
BER;202412110410;1.1;84.9;0;5.4;32
BER;202412110420;1.1;84.7;0;5.4;44
BER;202412110430;1.1;84.3;0;6.1;34
BER;202412110440;1.2;83.2;0;6.1;37
BER;202412110450;1.1;85.1;0;4.7;40
BER;202412110500;1.1;84.7;0;5.0;39
BER;202412110510;1.1;85.8;0;6.5;28
BER;202412110520;1.1;84.2;0;6.8;37
BER;202412110530;1.2;84.3;0;6.1;38
BER;202412110540;1.1;85.0;0;6.1;37
BER;202412110550;1.2;83.0;0;6.1;40
BER;202412110600;1.1;84.3;0;5.4;40
BER;202412110610;1.0;86.1;0;5.0;36
BER;202412110620;1.0;86.2;0;5.4;29
BER;202412110630;1.1;84.5;0;4.7;32
BER;202412110640;1.2;82.8;0;2.5;53
BER;202412110650;1.1;83.7;0;2.9;37
BER;202412110700;1.2;84.0;0;2.5;33
BER;202412110710;1.1;84.1;0;2.9;38
BER;202412110720;1.1;84.0;0;3.2;27
BER;202412110730;1.1;84.7;0;3.2;27
BER;202412110740;1.1;85.6;0;3.6;27
BER;202412110750;1.1;85.0;0;3.2;41
BER;202412110800;1.1;85.4;0;4.7;30
BER;202412110810;1.2;83.1;0;3.2;43
BER;202412110820;1.3;81.6;0;2.9;42
BER;202412110830;1.3;81.8;0;3.2;42
BER;202412110840;1.3;81.8;0;3.2;31
BER;202412110850;1.4;81.7;0;5.4;26
BER;202412110900;1.4;82.8;0;5.0;35
BER;202412110910;1.4;82.0;0;3.2;37
BER;202412110920;1.5;81.8;0;4.0;42
BER;202412110930;1.5;81.8;0;4.3;36
BER;202412110940;1.5;80.6;0;5.8;28
BER;202412110950;1.7;78.6;0;6.5;28
BER;202412111000;1.7;77.6;0;6.1;37
BER;202412111010;1.7;78.5;0;4.3;45
BER;202412111020;1.7;76.4;0;5.4;41
BER;202412111030;1.7;76.7;0;5.0;80
BER;202412111040;1.8;76.5;0;3.2;60
BER;202412111050;1.8;76.9;0;3.2;55
BER;202412111100;1.9;77.4;0;5.0;47
BER;202412111110;2.0;78.3;0;4.7;53
BER;202412111120;1.9;75.1;0;6.5;37
BER;202412111130;1.9;75.6;0;4.7;47
BER;202412111140;2.0;76.1;0;5.4;44
BER;202412111150;2.0;76.9;0;7.2;31
BER;202412111200;1.9;77.0;0;8.3;29
BER;202412111210;1.9;75.3;0;7.6;47
BER;202412111220;1.9;74.1;0;5.4;52
BER;202412111230;2.0;75.6;0;2.5;42
BER;202412111240;2.0;76.4;0;2.5;48
BER;202412111250;1.9;74.6;0;2.2;73
BER;202412111300;2.1;78.2;0;3.2;81
BER;202412111310;2.0;77.0;0;4.3;52
BER;202412111320;2.0;78.4;0;5.4;47
BER;202412111330;2.0;78.5;0;4.7;38
BER;202412111340;1.9;76.1;0;5.8;40
BER;202412111350;2.0;75.3;0;5.0;53
BER;202412111400;2.0;76.8;0;4.3;41
BER;202412111410;1.9;78.2;0;4.7;34
BER;202412111420;1.9;76.2;0;5.4;35
BER;202412111430;1.9;76.9;0;6.8;29
BER;202412111440;1.9;79.4;0;6.1;36
BER;202412111450;1.8;73.6;0;4.7;45
BER;202412111500;1.8;79.0;0;5.0;35
BER;202412111510;1.7;77.7;0;6.8;28
BER;202412111520;1.8;76.4;0;5.4;54
BER;202412111530;1.7;77.6;0;3.2;84
BER;202412111540;1.8;76.1;0;2.5;62
BER;202412111550;1.5;80.0;0;4.7;32
BER;202412111600;1.5;81.1;0;4.3;39
BER;202412111610;1.4;80.5;0;3.6;42
BER;202412111620;1.5;80.2;0;2.2;39
BER;202412111630;1.4;81.9;0;4.0;32
BER;202412111640;1.5;79.4;0;6.5;35
BER;202412111650;1.5;78.6;0;6.5;32
BER;202412111700;1.4;80.1;0;4.7;50
BER;202412111710;1.3;80.1;0;5.4;33
BER;202412111720;1.3;83.3;0;5.4;29
BER;202412111730;1.2;83.8;0;5.0;32
BER;202412111740;1.2;82.7;0;5.0;26
BER;202412111750;1.2;82.3;0;4.7;30
BER;202412111800;1.2;81.9;0;6.5;19
BER;202412111810;1.1;81.8;0;5.4;30
BER;202412111820;1.2;80.8;0;4.3;40
BER;202412111830;1.1;82.0;0;5.8;43
BER;202412111840;1.1;82.4;0;6.5;16
BER;202412111850;1.0;82.4;0;4.7;25
BER;202412111900;1.0;82.7;0;6.5;29
BER;202412111910;1.0;82.5;0;7.6;18
